r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.1000, 20.0000, 20.0000,     20.000000,     20.000000,      0.009069
  0.1000, 20.0000, 30.0000,     29.891589,     29.909310,      0.009069
  0.1000, 20.0000, 40.0000,     39.759381,     39.818620,      0.009069
  0.1000, 20.0000, 50.0000,     49.613626,     49.727930,      0.009069
  0.1000, 20.0000, 70.0000,     69.299614,     69.546550,      0.009069
  0.1000, 20.0000, 90.0000,     88.969282,     89.365170,      0.009069
  0.1000, 20.0000,110.0000,    108.630182,    109.183790,      0.009069
  0.1000, 20.0000,130.0000,    128.285830,    129.002410,      0.009069
  0.1000, 20.0000,150.0000,    147.938085,    148.821030,      0.009069
  0.1000, 20.0000,170.0000,    167.588019,    168.639650,      0.009069
  0.1000, 30.0000, 20.0000,     20.072539,     20.090690,      0.009069
  0.1000, 30.0000, 30.0000,     30.000000,     30.000000,      0.009069
  0.1000, 30.0000, 40.0000,     39.896698,     39.909310,      0.009069
  0.1000, 30.0000, 50.0000,     49.774248,     49.818620,      0.009069
  0.1000, 30.0000, 70.0000,     69.495007,     69.637240,      0.009069
  0.1000, 30.0000, 90.0000,     89.189144,     89.455860,      0.009069
  0.1000, 30.0000,110.0000,    108.868112,    109.274480,      0.009069
  0.1000, 30.0000,130.0000,    128.537619,    129.093100,      0.009069
  0.1000, 30.0000,150.0000,    148.200829,    148.911720,      0.009069
  0.1000, 30.0000,170.0000,    167.859636,    168.730340,      0.009069
  0.1000, 40.0000, 20.0000,     20.121046,     20.181380,      0.009069
  0.1000, 40.0000, 30.0000,     30.077680,     30.090690,      0.009069
  0.1000, 40.0000, 40.0000,     40.000001,     40.000000,      0.009069
  0.1000, 40.0000, 50.0000,     49.899538,     49.909310,      0.009069
  0.1000, 40.0000, 70.0000,     69.655286,     69.727930,      0.009069
  0.1000, 40.0000, 90.0000,     89.375608,     89.546550,      0.009069
  0.1000, 40.0000,110.0000,    109.074742,    109.365170,      0.009069
  0.1000, 40.0000,130.0000,    128.760199,    129.183790,      0.009069
  0.1000, 40.0000,150.0000,    148.436314,    149.002410,      0.009069
  0.1000, 40.0000,170.0000,    168.105766,    168.821030,      0.009069
  0.1000, 50.0000, 20.0000,     20.155767,     20.272070,      0.009069
  0.1000, 50.0000, 30.0000,     30.136073,     30.181380,      0.009069
  0.1000, 50.0000, 40.0000,     40.080533,     40.090690,      0.009069
  0.1000, 50.0000, 50.0000,     50.000002,     50.000000,      0.009069
  0.1000, 50.0000, 70.0000,     69.789137,     69.818620,      0.009069
  0.1000, 50.0000, 90.0000,     89.535747,     89.637240,      0.009069
  0.1000, 50.0000,110.0000,    109.255867,    109.455860,      0.009069
  0.1000, 50.0000,130.0000,    128.958373,    129.274480,      0.009069
