r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.1000, 20.0000, 20.0000,     20.000000,     20.000000,      0.009069
  0.1000, 20.0000, 70.0000,     69.299614,     69.546550,      0.009069
  0.1000, 20.0000,120.0000,    118.458522,    119.093100,      0.009069
  0.1000, 20.0000,170.0000,    167.588019,    168.639650,      0.009069
  0.1000, 70.0000, 20.0000,     20.202156,     20.453450,      0.009069
  0.1000, 70.0000, 70.0000,     70.000000,     70.000000,      0.009069
  0.1000, 70.0000,120.0000,    119.429747,    119.546550,      0.009069
  0.1000, 70.0000,170.0000,    168.722682,    169.093100,      0.009069
  0.1000,120.0000, 20.0000,     20.260295,     20.906900,      0.009069
  0.1000,120.0000, 70.0000,     70.334254,     70.453450,      0.009069
  0.1000,120.0000,120.0000,    119.999998,    120.000000,      0.009069
  0.1000,120.0000,170.0000,    169.470275,    169.546550,      0.009069
  0.1000,170.0000, 20.0000,     20.287894,     21.360350,      0.009069
  0.1000,170.0000, 70.0000,     70.529983,     70.906900,      0.009069
  0.1000,170.0000,120.0000,    120.375106,    120.453450,      0.009069
  0.1000,170.0000,170.0000,    169.999992,    170.000000,      0.009069
  0.2000, 20.0000, 20.0000,     19.999997,     20.000000,      0.036276
  0.2000, 20.0000, 70.0000,     67.238161,     68.186201,      0.036276
  0.2000, 20.0000,120.0000,    113.945092,    116.372401,      0.036276
  0.2000, 20.0000,170.0000,    160.543135,    164.558602,      0.036276
  0.2000, 70.0000, 20.0000,     20.819834,     21.813799,      0.036276
  0.2000, 70.0000, 70.0000,     69.999990,     70.000000,      0.036276
  0.2000, 70.0000,120.0000,    117.734955,    118.186201,      0.036276
  0.2000, 70.0000,170.0000,    164.945826,    166.372401,      0.036276
  0.2000,120.0000, 20.0000,     21.059977,     23.627599,      0.036276
  0.2000,120.0000, 70.0000,     71.345391,     71.813799,      0.036276
  0.2000,120.0000,120.0000,    119.999982,    120.000000,      0.036276
  0.2000,120.0000,170.0000,    167.891145,    168.186201,      0.036276
  0.2000,170.0000, 20.0000,     21.174672,     25.441398,      0.036276
  0.2000,170.0000, 70.0000,     72.141624,     73.627599,      0.036276
  0.2000,170.0000,120.0000,    121.506328,    121.813799,      0.036276
  0.2000,170.0000,170.0000,    169.999975,    170.000000,      0.036276
  0.3000, 20.0000, 20.0000,     20.000000,     20.000000,      0.081621
  0.3000, 20.0000, 70.0000,     63.928950,     65.918951,      0.081621
  0.3000, 20.0000,120.0000,    106.782727,    111.837903,      0.081621
  0.3000, 20.0000,170.0000,    149.423853,    157.756854,      0.081621
  0.3000, 70.0000, 20.0000,     21.899371,     24.081049,      0.081621
  0.3000, 70.0000, 70.0000,     70.000000,     70.000000,      0.081621
  0.3000, 70.0000,120.0000,    114.954941,    115.918951,      0.081621
  0.3000, 70.0000,170.0000,    158.820781,    161.837903,      0.081621
  0.3000,120.0000, 20.0000,     22.475647,     28.162097,      0.081621
  0.3000,120.0000, 70.0000,     73.072154,     74.081049,      0.081621
  0.3000,120.0000,120.0000,    119.999998,    120.000000,      0.081621
  0.3000,120.0000,170.0000,    165.283172,    165.918951,      0.081621
  0.3000,170.0000, 20.0000,     22.754190,     32.243146,      0.081621
  0.3000,170.0000, 70.0000,     74.927337,     78.162097,      0.081621
  0.3000,170.0000,120.0000,    123.424576,    124.081049,      0.081621
  0.3000,170.0000,170.0000,    169.999992,    170.000000,      0.081621
  0.4000, 20.0000, 20.0000,     20.000000,     20.000000,      0.145104
  0.4000, 20.0000, 70.0000,     59.557821,     62.744803,      0.145104
  0.4000, 20.0000,120.0000,     97.464901,    105.489605,      0.145104
  0.4000, 20.0000,170.0000,    135.060175,    148.234408,      0.145104
  0.4000, 70.0000, 20.0000,     23.506675,     27.255197,      0.145104
  0.4000, 70.0000, 70.0000,     70.000000,     70.000000,      0.145104
  0.4000, 70.0000,120.0000,    111.174105,    112.744803,      0.145104
  0.4000, 70.0000,170.0000,    150.618860,    155.489605,      0.145104
  0.4000,120.0000, 20.0000,     24.624435,     34.510395,      0.145104
  0.4000,120.0000, 70.0000,     75.557240,     77.255197,      0.145104
  0.4000,120.0000,120.0000,    119.999998,    120.000000,      0.145104
  0.4000,120.0000,170.0000,    161.702917,    162.744803,      0.145104
  0.4000,170.0000, 20.0000,     25.174196,     41.765592,      0.145104
  0.4000,170.0000, 70.0000,     79.007571,     84.510395,      0.145104
  0.4000,170.0000,120.0000,    126.157334,    127.255197,      0.145104
  0.4000,170.0000,170.0000,    169.999992,    170.000000,      0.145104
  0.5000, 20.0000, 20.0000,     20.000000,     20.000000,      0.226725
  0.5000, 20.0000, 70.0000,     54.340188,     58.663754,      0.226725
  0.5000, 20.0000,120.0000,     86.553463,     97.327508,      0.226725
  0.5000, 20.0000,170.0000,    118.386935,    135.991262,      0.226725
  0.5000, 70.0000, 20.0000,     25.763802,     31.336246,      0.226725
  0.5000, 70.0000, 70.0000,     70.000000,     70.000000,      0.226725
