      r	      	      Kf	         Km           Ky               Kz	          PSI
  0.10000000        20.000000        20.000000        20.000000        20.000000       0.78539816E-02 
  0.10000000        20.000000        70.000000        69.393014        69.607301       0.78539816E-02 
  0.10000000        20.000000        120.00000        118.66383        119.21460       0.78539816E-02 
  0.10000000        20.000000        170.00000        167.90907        168.82190       0.78539816E-02 
  0.10000000        70.000000        20.000000        20.174958        20.392699       0.78539816E-02 
  0.10000000        70.000000        70.000000        70.000000        70.000000       0.78539816E-02 
  0.10000000        70.000000        120.00000        119.50597        119.60730       0.78539816E-02 
  0.10000000        70.000000        170.00000        168.89320        169.21460       0.78539816E-02 
  0.10000000        120.00000        20.000000        20.225230        20.785398       0.78539816E-02 
  0.10000000        120.00000        70.000000        70.289389        70.392699       0.78539816E-02 
  0.10000000        120.00000        120.00000        120.00000        120.00000       0.78539816E-02 
  0.10000000        120.00000        170.00000        169.54113        169.60730       0.78539816E-02 
  0.10000000        170.00000        20.000000        20.249088        21.178097       0.78539816E-02 
  0.10000000        170.00000        70.000000        70.458758        70.785398       0.78539816E-02 
  0.10000000        170.00000        120.00000        120.32479        120.39270       0.78539816E-02 
  0.10000000        170.00000        170.00000        170.00000        170.00000       0.78539816E-02 
  0.20000000        20.000000        20.000000        20.000000        20.000000       0.31415927E-01 
  0.20000000        20.000000        70.000000        67.600000        68.429204       0.31415927E-01 
  0.20000000        20.000000        120.00000        114.73601        116.85841       0.31415927E-01 
  0.20000000        20.000000        170.00000        161.77670        165.28761       0.31415927E-01 
  0.20000000        70.000000        20.000000        20.710080        21.570796       0.31415927E-01 
  0.20000000        70.000000        70.000000        70.000000        70.000000       0.31415927E-01 
  0.20000000        70.000000        120.00000        118.03337        118.42920       0.31415927E-01 
  0.20000000        70.000000        170.00000        165.60974        166.85841       0.31415927E-01 
  0.20000000        120.00000        20.000000        20.917618        23.141593       0.31415927E-01 
  0.20000000        120.00000        70.000000        71.166332        71.570796       0.31415927E-01 
  0.20000000        120.00000        120.00000        120.00000        120.00000       0.31415927E-01 
